K,Log_Likelihood,AIC,BIC,n_params
2,-720572.0089676315,1441160.017935263,1441205.2154762526,8
3,-720572.0089676315,1441168.017935263,1441235.8142467476,12
4,-718181.4954480185,1436394.990896037,1436485.3859780165,16
5,-714949.1351189554,1429938.2702379108,1430051.264090385,20
6,-714854.3444208687,1429756.6888417373,1429892.2814647064,24
7,-714798.4414297368,1429652.8828594736,1429811.0742529375,28
8,-714587.3485430764,1429238.6970861529,1429419.4872501115,32
9,-714587.3485430764,1429246.6970861529,1429450.0860206066,36
10,-714470.0706690268,1429020.1413380536,1429246.1290430021,40
11,-714022.0996162858,1428132.1992325715,1428380.7857080149,44
12,-713966.196625154,1428028.393250308,1428299.5784962461,48
13,-713966.196625154,1428036.393250308,1428330.177266741,52
14,-713966.196625154,1428044.393250308,1428360.7760372357,56
