Sector,Cluster_K2,Cluster_K3,Cluster_K4,Cluster_K5,Cluster_K6,Cluster_K7,Cluster_K8,Cluster_K9,Cluster_K10,Cluster_K11,Cluster_K12,Cluster_K13,Cluster_K14
G,1,0,0,3,0,2,0,8,5,6,1,6,12
M,0,1,0,4,1,0,5,0,0,2,3,2,1
F,0,1,2,1,5,4,4,3,9,8,8,8,8
J,1,0,0,3,0,2,0,8,1,1,6,1,2
K,0,1,1,0,2,1,7,6,6,4,4,4,4
C,0,1,2,1,5,4,2,2,2,0,0,0,0
H,1,0,0,2,3,5,3,4,3,5,5,5,5
S,1,0,0,3,0,2,0,8,5,9,9,9,9
N,1,0,0,3,0,2,0,8,1,1,6,1,2
I,1,0,3,3,4,3,6,1,5,3,10,3,10
P,1,0,0,3,0,2,0,8,4,10,2,12,13
L,0,1,2,1,5,4,4,3,9,7,7,7,7
Q,0,1,1,0,2,6,7,6,6,4,11,11,11
R,1,0,3,3,4,3,6,1,5,3,10,3,10
