K,Cluster_ID,mu_ub,mu_lb,K_param,m_param
2,0,0.08539148,0.052638425538424564,10.985274623410506,55.46822149707608
2,1,0.13796160065385132,0.038307406,11.773080128367155,51.95269499
3,0,0.13796160065385132,0.038307406,11.773080128367155,51.95269499
3,1,0.08539148,0.052638425538424564,10.985274623410506,55.46822149707608
3,2,0.13629448242227582,0.048943609,15.075118010451595,55.69950439816159
4,0,0.13391023542631406,1e-06,15.525581330006597,3.1560418879000642
4,1,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
4,2,0.085130964,0.065719803,10.064845413044692,66.94029821556512
4,3,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
5,0,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
5,1,0.085130964,0.065719803,10.064845413044692,66.94029821556512
5,2,0.19869984865008053,0.027106432042441706,6.894266429858764,100
5,3,0.1376800787853969,1.0000000000005e-06,15.674875657355141,3.047386566435197
5,4,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
6,0,0.13734143398102452,1.0000000000030586e-06,15.481158834126749,3.1905830406393587
6,1,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
6,2,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
6,3,0.19869984865008053,0.027106432042441706,6.894266429858764,100
6,4,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
6,5,0.085130964,0.065719803,10.064845413044692,66.94029821556512
7,0,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
7,1,0.072561579,0.016894473099091253,16.257340159430253,14.026441220595236
7,2,0.13734143398102452,1.0000000000030586e-06,15.481158834126749,3.1905830406393587
7,3,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
7,4,0.085130964,0.065719803,10.064845413044692,66.94029821556512
7,5,0.19869984865008053,0.027106432042441706,6.894266429858764,100
7,6,0.082280982,0.046795545855191474,7.503224243693458,100
8,0,0.13734143398102452,1.0000000000030586e-06,15.481158834126749,3.1905830406393587
8,1,0.14301857085129374,1e-06,17.78484948044903,4.088409794377488
8,2,0.10476489206558567,0.048823521,8.428835763940445,100
8,3,0.19869984865008053,0.027106432042441706,6.894266429858764,100
8,4,0.084396764,0.038747683,50,1.1950172806390589
8,5,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
8,6,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
8,7,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
9,0,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
9,1,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
9,2,0.10476489206558567,0.048823521,8.428835763940445,100
9,3,0.084396764,0.038747683,50,1.1950172806390589
9,4,0.19869984865008053,0.027106432042441706,6.894266429858764,100
9,5,0.11528746804166154,1e-06,14.42705504507965,4.747397617428729
9,6,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
9,7,0.061447969,0.010121371136091198,19.299177848825067,11.849679785727174
9,8,0.13734143398102452,1.0000000000030586e-06,15.481158834126749,3.1905830406393587
10,0,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
10,1,0.13284250302201525,1.0000000000039018e-06,15.516035262080313,3.1952731959542158
10,2,0.10476489206558567,0.048823521,8.428835763940445,100
10,3,0.19869984865008053,0.027106432042441706,6.894266429858764,100
10,4,0.12635511125438081,0.067774153,9.190365970864391,100
10,5,0.1401149938336293,1e-06,15.550616044547825,3.1488123973288378
10,6,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
10,7,0.064069691,0.064068691,15.885924970085462,0.8505413646765602
10,8,0.14736424173454027,0.060336417898070496,18.204470278759946,40.590646901752095
10,9,0.084396764,0.038747683,50,1.1950172806390589
11,0,0.10476489206558567,0.048823521,8.428835763940445,100
11,1,0.13284250302201525,1.0000000000039018e-06,15.516035262080313,3.1952731959542158
11,2,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
11,3,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
11,4,0.072668391,0.025375443418817055,15.185550083432503,13.95007763405822
11,5,0.19869984865008053,0.027106432042441706,6.894266429858764,100
11,6,0.1444719592827886,0.060826898,9.195020928256818,100
11,7,0.072567831,0.072567828,14.249169553345428,0.8209674189944658
11,8,0.087072896,0.07476964,6.7086783062033275,100
11,9,0.14855175385458463,1e-06,12.321115022902125,4.490895472
11,10,0.12635511125438081,0.067774153,9.190365970864391,100
12,0,0.10476489206558567,0.048823521,8.428835763940445,100
12,1,0.1444719592827886,0.060826898,9.195020928256818,100
12,2,0.12635511125438081,0.067774153,9.190365970864391,100
12,3,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
12,4,0.072561579,0.016894473099091253,16.257340159430253,14.026441220595236
12,5,0.19869984865008053,0.027106432042441706,6.894266429858764,100
12,6,0.13284250302201525,1.0000000000039018e-06,15.516035262080313,3.1952731959542158
12,7,0.072567831,0.072567828,14.249169553345428,0.8209674189944658
12,8,0.087072896,0.07476964,6.7086783062033275,100
12,9,0.14855175385458463,1e-06,12.321115022902125,4.490895472
12,10,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
12,11,0.082280982,0.046795545855191474,7.503224243693458,100
13,0,0.10476489206558567,0.048823521,8.428835763940445,100
13,1,0.13284250302201525,1.0000000000039018e-06,15.516035262080313,3.1952731959542158
13,2,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
13,3,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
